date,code,open,high,low,close,change,decision
2022-01-31,xxx92,253.25,256.11,236.8,244.55,-0.0293,
2022-02-28,xxx92,244.81,254.85,236.81,245.95,0.0057,
2022-03-31,xxx92,244.86,278.94,240.98,273.21,0.1108,
2022-04-29,xxx92,274.2,274.44,230.06,234.29,-0.1425,
2022-05-31,xxx92,235.48,237.64,210.24,219.78,-0.0619,
2022-06-30,xxx92,221.17,229.06,204.21,213.28,-0.0296,
2022-07-29,xxx92,212.5,228.23,202.38,227.3,0.0657,
2022-08-31,xxx92,226.09,242.36,221.55,224.51,-0.0123,
2022-09-30,xxx92,223.66,235.29,194.73,194.82,-0.1322,
2022-10-31,xxx92,197.02,205.4,183.7,197.14,0.0119,
2022-11-30,xxx92,197.2,221.46,190.22,217.43,0.1029,
2022-12-30,xxx92,219.16,221.71,203.67,207.07,-0.0476,
2023-01-31,xxx92,207.29,235.2,194.5,204.19,-0.0139,
2023-02-28,xxx92,203.21,214.89,190.08,207.28,0.0151,
2023-03-31,xxx92,206.09,212.88,183.69,201.26,-0.029,
2023-04-28,xxx92,200.92,207.82,190.37,195.7,-0.0276,
2023-05-31,xxx92,195.53,202.83,190.71,192.52,-0.0162,
2023-06-30,xxx92,192.46,206.9,192.25,204.62,0.0629,
2023-07-31,xxx92,203.25,240.48,200.5,232.02,0.1339,
2023-08-31,xxx92,231.49,232.82,220.54,220.57,-0.0493,
2023-09-29,xxx92,221.64,222.4,201.46,203.63,-0.0768,
2023-10-31,xxx92,201.89,220.1,199.33,207.61,0.0195,
2023-11-30,xxx92,207.06,225.64,205.46,225.27,0.0851,
2023-12-20,xxx92,227.41,245.07,226.24,237.84,0.0558,
