date,code,open,high,low,close,change,decision
2022-01-31,xxx35,414.66,415.53,319.1,353.58,-0.1471,
2022-02-28,xxx35,354.22,360.1,300.71,316.02,-0.1062,
2022-03-31,xxx35,317.0,344.46,297.36,337.23,0.0671,
2022-04-29,xxx35,338.59,345.3,299.8,300.36,-0.1093,
2022-05-31,xxx35,300.46,315.88,268.17,298.46,-0.0063,
2022-06-30,xxx35,304.13,312.32,269.09,277.65,-0.0697,
2022-07-29,xxx35,277.58,307.76,261.77,306.26,0.103,
2022-08-31,xxx35,302.53,322.88,287.43,288.46,-0.0581,
2022-09-30,xxx35,287.8,296.81,254.27,257.3,-0.108,
2022-10-31,xxx35,260.27,288.22,242.95,283.9,0.1034,
2022-11-30,xxx35,287.06,300.97,256.02,300.93,0.06,
2022-12-30,xxx35,302.45,305.13,253.5,266.84,-0.1133,
2023-01-31,xxx35,269.2,287.97,261.37,279.05,0.0458,
2023-02-28,xxx35,276.6,295.79,262.75,265.55,-0.0484,
2023-03-31,xxx35,265.01,285.96,242.8,285.81,0.0763,
2023-04-28,xxx35,283.39,288.65,270.2,280.29,-0.0193,
2023-05-31,xxx35,279.09,318.91,261.68,305.92,0.0914,
2023-06-30,xxx35,305.73,327.93,296.0,308.58,0.0087,
2023-07-31,xxx35,308.0,324.19,304.12,316.35,0.0252,
2023-08-31,xxx35,315.44,326.23,301.31,323.77,0.0235,
2023-09-29,xxx35,326.05,330.44,294.49,307.11,-0.0515,
2023-10-31,xxx35,307.57,315.43,288.46,297.09,-0.0326,
2023-11-30,xxx35,298.17,335.8,298.17,333.14,0.1213,
2023-12-20,xxx35,333.8,346.96,332.02,339.5,0.0191,
