date,code,open,high,low,close,change,decision
2022-01-31,xxx20,164.51,180.13,152.85,179.82,0.0991,
2022-02-28,xxx20,179.92,199.55,179.0,194.54,0.0819,
2022-03-31,xxx20,194.67,194.77,155.72,187.0,-0.0388,
2022-04-29,xxx20,188.2,192.42,174.0,174.71,-0.0657,
2022-05-31,xxx20,174.65,178.17,149.71,168.82,-0.0337,
2022-06-30,xxx20,168.7,170.26,134.3,138.62,-0.1789,
2022-07-29,xxx20,138.07,160.88,134.12,154.02,0.1111,
2022-08-31,xxx20,152.84,166.06,150.84,152.0,-0.0131,
2022-09-30,xxx20,150.82,163.45,134.62,134.91,-0.1124,
2022-10-31,xxx20,137.95,150.91,130.65,148.45,0.1004,
2022-11-30,xxx20,149.96,158.88,138.77,157.59,0.0616,
2022-12-30,xxx20,157.72,161.55,142.72,147.75,-0.0624,
2023-01-31,xxx20,149.54,177.86,144.2,174.93,0.184,
2023-02-28,xxx20,173.38,182.15,171.08,173.99,-0.0054,
2023-03-31,xxx20,173.51,180.52,154.9,164.95,-0.052,
2023-04-28,xxx20,164.11,166.55,154.01,161.34,-0.0219,
2023-05-31,xxx20,161.85,161.85,146.28,158.56,-0.0172,
2023-06-30,xxx20,159.06,177.04,158.23,174.2,0.0986,
2023-07-31,xxx20,174.3,178.79,163.17,168.88,-0.0305,
2023-08-31,xxx20,167.95,169.81,157.33,157.99,-0.0645,
2023-09-29,xxx20,159.07,164.33,148.67,149.19,-0.0557,
2023-10-31,xxx20,148.42,156.05,140.91,146.03,-0.0212,
2023-11-30,xxx20,146.49,171.165,145.1423,170.77,0.1694,
2023-12-20,xxx20,170.67,185.77,165.93,180.65,0.0579,
