date,code,open,high,low,close,change,decision
2022-01-31,xxx57,61.18,68.65,60.03,65.12,0.0783,
2022-02-28,xxx57,65.44,69.11,58.37,59.23,-0.0904,
2022-03-31,xxx57,58.39,59.86,53.36,53.4,-0.0984,
2022-04-29,xxx57,53.47,53.98,48.05,48.21,-0.0972,
2022-05-31,xxx57,48.46,54.25,45.4,53.41,0.1079,
2022-06-30,xxx57,53.5,53.74,45.26,45.99,-0.1389,
2022-07-29,xxx57,45.74,53.15,43.44,51.9,0.1285,
2022-08-31,xxx57,51.49,54.56,48.67,48.81,-0.0595,
2022-09-30,xxx57,48.77,51.64,41.61,41.67,-0.1463,
2022-10-31,xxx57,41.55,46.28,40.01,45.86,0.1006,
2022-11-30,xxx57,46.3,50.57,44.27,48.41,0.0556,
2022-12-30,xxx57,48.28,48.67,42.91,45.23,-0.0657,
2023-01-31,xxx57,45.75,52.29,45.54,52.22,0.1545,
2023-02-28,xxx57,51.54,53.23,49.15,50.69,-0.0293,
2023-03-31,xxx57,50.46,52.45,42.01,46.89,-0.075,
2023-04-28,xxx57,47.14,50.45,45.31,47.07,0.0038,
2023-05-31,xxx57,47.88,48.38,43.71,44.32,-0.0584,
2023-06-30,xxx57,44.68,49.42,44.31,46.04,0.0388,
2023-07-31,xxx57,46.08,49.12,45.11,47.66,0.0352,
2023-08-31,xxx57,47.33,47.47,40.72,41.29,-0.1337,
2023-09-29,xxx57,41.59,43.44,39.94,41.13,-0.0039,
2023-10-31,xxx57,40.99,43.32,38.17,39.49,-0.0399,
2023-11-30,xxx57,39.54,46.165,39.28,46.1,0.1674,
2023-12-20,xxx57,46.0,51.545,45.89,50.07,0.0861,
