date,code,open,high,low,close,change,decision
2022-01-31,xxx90,182.91,193.58,157.38,175.76,-0.0389,
2022-02-28,xxx90,176.44,192.1,155.79,171.99,-0.0214,
2022-03-31,xxx90,170.96,171.84,139.05,152.82,-0.1115,
2022-04-29,xxx90,151.94,154.13,130.66,139.69,-0.0859,
2022-05-31,xxx90,140.6,149.5,125.86,143.22,0.0253,
2022-06-30,xxx90,142.55,146.25,118.22,127.74,-0.1081,
2022-07-29,xxx90,125.75,156.66,120.36,145.06,0.1356,
2022-08-31,xxx90,144.31,152.91,131.3,132.27,-0.0882,
2022-09-30,xxx90,129.98,134.22,112.92,112.98,-0.1458,
2022-10-31,xxx90,114.99,127.21,104.66,117.66,0.0414,
2022-11-30,xxx90,119.74,128.13,101.93,126.49,0.075,
2022-12-30,xxx90,126.72,128.2,106.82,109.94,-0.1308,
2023-01-31,xxx90,111.35,134.89,107.13,133.21,0.2117,
2023-02-28,xxx90,132.68,139.94,122.92,123.53,-0.0727,
2023-03-31,xxx90,123.78,128.19,113.14,127.58,0.0328,
2023-04-28,xxx90,126.99,127.57,112.15,116.8,-0.0845,
2023-05-31,xxx90,117.21,117.58,101.47,113.41,-0.029,
2023-06-30,xxx90,114.56,125.4,112.24,119.04,0.0496,
2023-07-31,xxx90,119.27,132.97,113.62,132.17,0.1103,
2023-08-31,xxx90,131.92,132.39,107.76,114.53,-0.1335,
2023-09-29,xxx90,115.7,117.06,105.51,111.06,-0.0303,
2023-10-31,xxx90,110.4,114.4,104.333,108.99,-0.0186,
2023-11-30,xxx90,109.17,130.6,108.7,129.05,0.1841,
2023-12-20,xxx90,129.06,143.49,128.03,140.44,0.0883,
