date,code,open,high,low,close,change,decision
2022-01-31,xxx19,72.27,73.39,66.78,68.68,-0.0541,
2022-02-28,xxx19,68.79,68.8,59.18,60.4,-0.1206,
2022-03-31,xxx19,59.94,62.25,57.19,59.45,-0.0157,
2022-04-29,xxx19,59.44,64.28,58.58,59.34,-0.0019,
2022-05-31,xxx19,59.55,65.46,59.15,64.85,0.0929,
2022-06-30,xxx19,65.27,65.34,57.17,61.81,-0.0469,
2022-07-29,xxx19,61.47,63.2,59.51,59.75,-0.0333,
2022-08-31,xxx19,59.77,66.89,59.27,63.47,0.0623,
2022-09-30,xxx19,63.41,68.88,61.61,61.69,-0.028,
2022-10-31,xxx19,62.4,79.61,61.45,78.46,0.2718,
2022-11-30,xxx19,78.26,88.2,77.16,87.83,0.1194,
2022-12-30,xxx19,88.2,89.74,81.81,85.85,-0.0225,
2023-01-31,xxx19,85.08,88.29,82.11,83.94,-0.0222,
2023-02-28,xxx19,84.01,87.82,79.92,80.53,-0.0406,
2023-03-31,xxx19,80.34,83.14,76.53,82.97,0.0303,
2023-04-28,xxx19,82.94,87.37,80.08,82.21,-0.0092,
2023-05-31,xxx19,82.47,82.55,76.01,76.94,-0.0641,
2023-06-30,xxx19,77.54,79.53,74.96,77.07,0.0017,
2023-07-31,xxx19,76.26,81.13,74.33,76.14,-0.0121,
2023-08-31,xxx19,76.09,81.43,75.1,76.48,0.0045,
2023-09-29,xxx19,77.22,77.73,73.25,74.94,-0.0201,
2023-10-31,xxx19,75.0,81.07,72.87,78.54,0.048,
2023-11-30,xxx19,79.0,82.59,73.99,76.6,-0.0247,
2023-12-20,xxx19,76.78,83.12,76.2,78.59,0.026,
