date,code,open,high,low,close,change,decision
2022-01-31,xxx58,135.41,138.3,128.26,136.89,0.011,
2022-02-28,xxx58,137.37,150.36,133.05,147.77,0.0795,
2022-03-31,xxx58,147.67,164.66,146.21,162.11,0.097,
2022-04-29,xxx58,162.15,175.91,139.93,146.88,-0.0939,
2022-05-31,xxx58,146.65,156.89,143.44,147.37,0.0033,
2022-06-30,xxx58,147.79,156.62,135.76,153.16,0.0393,
2022-07-29,xxx58,153.08,155.25,139.05,143.51,-0.063,
2022-08-31,xxx58,141.51,143.98,134.17,134.46,-0.0631,
2022-09-30,xxx58,134.64,145.54,134.09,134.21,-0.0019,
2022-10-31,xxx58,135.88,153.99,135.31,146.4,0.0908,
2022-11-30,xxx58,146.66,161.18,143.03,161.18,0.101,
2022-12-30,xxx58,161.0,167.75,159.82,161.61,0.0027,
2023-01-31,xxx58,162.04,168.11,144.41,147.75,-0.0858,
2023-02-28,xxx58,146.63,154.75,143.44,153.9,0.0416,
2023-03-31,xxx58,152.76,159.7,146.58,159.37,0.0355,
2023-04-28,xxx58,158.25,166.2,147.16,151.12,-0.0518,
2023-05-31,xxx58,150.84,155.02,135.25,137.96,-0.0871,
2023-06-30,xxx58,135.26,139.67,130.96,134.73,-0.0234,
2023-07-31,xxx58,134.0,151.76,132.7,149.58,0.1102,
2023-08-31,xxx58,150.0,153.6,145.94,146.96,-0.0175,
2023-09-29,xxx58,147.36,154.88,143.74,149.06,0.0143,
2023-10-31,xxx58,148.47,150.4,136.03,141.18,-0.0529,
2023-11-30,xxx58,141.86,143.95,135.85,142.39,0.0086,
2023-12-20,xxx58,142.54,155.89,142.2801,151.69,0.0653,
