date,code,open,high,low,close,change,decision
2022-01-31,xxx80,62.94,69.16,62.71,67.06,0.0731,
2022-02-28,xxx80,66.7,72.55,64.26,67.55,0.0073,
2022-03-31,xxx80,66.69,72.23,61.62,70.28,0.0404,
2022-04-29,xxx80,70.84,73.18,65.43,65.68,-0.0655,
2022-05-31,xxx80,66.15,69.5,60.84,67.39,0.026,
2022-06-30,xxx80,67.8,67.89,60.21,62.79,-0.0683,
2022-07-29,xxx80,62.63,63.88,57.41,63.25,0.0073,
2022-08-31,xxx80,62.74,68.13,61.93,64.33,0.0171,
2022-09-30,xxx80,63.99,68.92,60.05,60.78,-0.0552,
2022-10-31,xxx80,61.66,73.57,60.68,73.21,0.2045,
2022-11-30,xxx80,73.67,77.36,71.45,76.7,0.0477,
2022-12-30,xxx80,77.02,77.33,70.63,72.37,-0.0565,
2023-01-31,xxx80,72.44,73.92,64.79,73.02,0.009,
2023-02-28,xxx80,72.42,73.28,68.68,71.73,-0.0177,
2023-03-31,xxx80,71.51,72.72,52.83,57.94,-0.1922,
2023-04-28,xxx80,58.27,62.0,56.73,61.33,0.0585,
2023-05-31,xxx80,60.95,61.8,48.95,49.55,-0.1921,
2023-06-30,xxx80,49.77,56.89,49.55,56.53,0.1409,
2023-07-31,xxx80,56.71,63.34,56.13,62.97,0.1139,
2023-08-31,xxx80,62.67,65.14,61.05,63.34,0.0059,
2023-09-29,xxx80,63.8,66.98,62.05,62.91,-0.0068,
2023-10-31,xxx80,62.48,64.71,57.91,60.01,-0.0461,
2023-11-30,xxx80,60.0,64.05,58.89,63.63,0.0603,
2023-12-20,xxx80,63.39,67.72,63.07,65.22,0.025,
