date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission,tax
2022-01-07,xx000301_convert,19.35,20.73,18.86,20.5,0.06,,,,,81169,,,,
2022-01-14,xx000301_convert,20.1,20.27,18.41,19.01,-0.0727,,,,,16470,,,,
2022-01-21,xx000301_convert,18.99,19.37,17.39,17.58,-0.0752,,,,,52685,,,,
2022-01-28,xx000301_convert,17.46,18.95,16.35,16.77,-0.0461,,,,,20322,,,,
2022-02-11,xx000301_convert,17.19,18.47,17.15,17.78,0.0602,,,,,95849,,,,
2022-02-18,xx000301_convert,17.73,18.59,17.13,18.19,0.0231,,,,,26641,,,,
2022-02-25,xx000301_convert,18.05,19.54,18.03,18.63,0.0242,,,,,39880,,,,
2022-03-04,xx000301_convert,18.54,19.33,16.55,16.96,-0.0896,,,,,59864,,,,
2022-03-11,xx000301_convert,16.42,16.63,14.18,15.76,-0.0708,,,,,36896,,,,
2022-03-18,xx000301_convert,16.15,16.3,14.48,15.45,-0.0197,,,,,10413,,,,
2022-03-25,xx000301_convert,15.33,15.7,14.18,14.32,-0.0731,keep,0,1000000,1000000,32524,0.0,0.0,,
2022-04-01,xx000301_convert,14.1,14.64,13.88,14.54,0.0154,keep,0,1000000,1000000.0,59431,0.0,0.0,,
2022-04-08,xx000301_convert,14.44,14.58,13.78,14.26,-0.0193,keep,0,1000000,1000000.0,81855,0.0,0.0,,
2022-04-15,xx000301_convert,14.16,14.36,13.18,13.76,-0.0351,keep,0,1000000,1000000.0,86647,0.0,0.0,,
2022-04-22,xx000301_convert,13.76,14.17,12.32,12.63,-0.0821,keep,0,1000000,1000000.0,39626,0.0,0.0,,
2022-04-29,xx000301_convert,12.52,12.52,10.7,12.25,-0.0301,keep,0,1000000,1000000.0,66305,0.0,0.0,,
2022-05-06,xx000301_convert,11.89,12.35,11.76,12.25,0.0,keep,0,1000000,1000000.0,97923,0.0,0.0,,
2022-05-13,xx000301_convert,12.23,13.42,12.11,13.18,0.0759,keep,0,1000000,1000000.0,69146,0.0,0.0,,
2022-05-20,xx000301_convert,13.5,15.38,13.31,14.93,0.1328,keep,0,1000000,1000000.0,65991,0.0,0.0,,
2022-05-27,xx000301_convert,14.94,16.61,14.82,15.25,0.0315,keep,0,1000000,1000000.0,56665,0.0,0.0,,
2022-06-02,xx000301_convert,15.4,15.94,15.0,15.31,0.0039,keep,0,1000000,1000000.0,32697,0.0,0.0,,
2022-06-10,xx000301_convert,15.36,17.42,15.2,17.42,0.1378,keep,0,1000000,1000000.0,98553,0.0,0.0,,
2022-06-17,xx000301_convert,17.6,20.0,17.42,17.85,0.0247,buy,0,1000000,1000000.0,78846,0.0,0.0,,
2022-06-24,xx000301_convert,17.9,18.6,16.75,18.58,0.0409,sell,11100,801149.3,1007387.3,94677,206238.0,0.2047,49.7,
2022-07-01,xx000301_convert,18.58,19.08,16.37,17.09,-0.0802,sell,8880,842323.16,994082.3600000001,41921,151759.2,0.1527,10.31,41.23
2022-07-08,xx000301_convert,16.98,18.1,16.21,16.77,-0.0187,keep,7104,872424.21,991558.2899999999,59856,119134.08,0.1201,7.53,30.14
2022-07-15,xx000301_convert,16.51,18.16,16.33,17.85,0.0644,keep,7104,872424.21,999230.61,73306,126806.4,0.1269,,
2022-07-22,xx000301_convert,17.8,17.88,16.52,17.15,-0.0392,keep,7104,872424.21,994257.8099999999,23077,121833.6,0.1225,,
2022-07-29,xx000301_convert,17.01,20.41,16.6,19.72,0.1499,keep,7104,872424.21,1012515.09,16770,140090.88,0.1384,,
2022-08-05,xx000301_convert,19.63,22.46,19.09,21.01,0.0654,keep,7104,872424.21,1021679.25,11615,149255.04,0.1461,,
2022-08-12,xx000301_convert,20.96,24.83,20.6,23.23,0.1057,keep,7104,872424.21,1037450.13,35647,165025.92,0.1591,,
2022-08-19,xx000301_convert,23.1,24.46,21.15,22.65,-0.025,keep,7104,872424.21,1033329.8099999999,86670,160905.6,0.1557,,
2022-08-26,xx000301_convert,21.87,22.68,20.66,21.16,-0.0658,keep,7104,872424.21,1022744.85,81753,150320.64,0.147,,
2022-09-02,xx000301_convert,20.9,21.66,18.37,19.16,-0.0945,keep,7104,872424.21,1008536.85,90611,136112.64,0.135,,
2022-09-09,xx000301_convert,19.16,22.23,18.92,20.81,0.0861,keep,7104,872424.21,1020258.45,15748,147834.24,0.1449,,
2022-09-16,xx000301_convert,21.05,21.2,18.0,18.48,-0.112,keep,7104,872424.21,1003706.13,43138,131281.92,0.1308,,
2022-09-23,xx000301_convert,18.15,19.47,17.91,19.06,0.0314,keep,7104,872424.21,1007826.45,74587,135402.24,0.1344,,
2022-09-30,xx000301_convert,18.72,19.85,17.16,17.42,-0.086,keep,7104,872424.21,996175.89,36985,123751.68,0.1242,,
2022-10-14,xx000301_convert,17.45,17.58,15.58,16.07,-0.0775,keep,7104,872424.21,986585.49,33852,114161.28,0.1157,,
2022-10-21,xx000301_convert,15.8,16.28,14.95,15.1,-0.0604,keep,7104,872424.21,979694.61,72828,107270.4,0.1095,,
2022-10-28,xx000301_convert,15.19,15.61,12.74,12.77,-0.1543,keep,7104,872424.21,963142.2899999999,22353,90718.08,0.0942,,
2022-11-04,xx000301_convert,12.8,13.83,11.92,13.7,0.0728,keep,7104,872424.21,969749.01,87935,97324.8,0.1004,,
2022-11-11,xx000301_convert,13.7,14.24,13.16,13.91,0.0153,keep,7104,872424.21,971240.85,88078,98816.64,0.1017,,
2022-11-18,xx000301_convert,14.08,14.58,13.15,13.35,-0.0403,keep,7104,872424.21,967262.61,79644,94838.4,0.098,,
2022-11-25,xx000301_convert,13.21,13.76,13.01,13.66,0.0232,keep,7104,872424.21,969464.85,69543,97040.64,0.1001,,
2022-12-02,xx000301_convert,13.47,14.4,12.77,14.18,0.0381,keep,7104,872424.21,973158.9299999999,25940,100734.72,0.1035,,
2022-12-09,xx000301_convert,14.47,14.84,13.74,14.74,0.0395,keep,7104,872424.21,977137.1699999999,53776,104712.96,0.1072,,
