date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos
2022-01-07,xx600989_convert,17.45,17.53,16.68,16.99,-0.0213,,,,,64243,,
2022-01-14,xx600989_convert,16.95,17.5,16.0,16.09,-0.053,,,,,65194,,
2022-01-21,xx600989_convert,16.05,17.0,15.88,16.13,0.0025,,,,,26534,,
2022-01-28,xx600989_convert,16.06,16.44,15.62,15.91,-0.0136,,,,,85910,,
2022-02-11,xx600989_convert,16.29,18.0,16.22,17.8,0.1188,,,,,13624,,
2022-02-18,xx600989_convert,17.79,17.91,16.78,17.28,-0.0292,,,,,50998,,
2022-02-25,xx600989_convert,17.28,17.57,16.7,17.3,0.0012,,,,,50693,,
2022-03-04,xx600989_convert,17.3,18.42,16.9,17.87,0.0329,,,,,24270,,
2022-03-11,xx600989_convert,18.31,18.66,15.79,17.48,-0.0218,,,,,35649,,
2022-03-18,xx600989_convert,17.2,17.38,14.1,14.88,-0.1487,,,,,52137,,
2022-03-25,xx600989_convert,14.9,15.46,14.63,15.05,0.0114,keep,0,1000000,1000000,32233,0.0,0.0
2022-04-01,xx600989_convert,15.0,15.43,14.54,15.05,-0.0,keep,0,1000000,1000000.0,16745,0.0,0.0
2022-04-08,xx600989_convert,15.06,16.05,14.57,15.93,0.0585,keep,0,1000000,1000000.0,97776,0.0,0.0
2022-04-15,xx600989_convert,15.86,16.26,15.11,16.09,0.01,keep,0,1000000,1000000.0,37135,0.0,0.0
2022-04-22,xx600989_convert,15.86,16.34,13.89,14.24,-0.115,keep,0,1000000,1000000.0,89595,0.0,0.0
2022-04-29,xx600989_convert,14.09,14.1,11.98,14.1,-0.0098,keep,0,1000000,1000000.0,59278,0.0,0.0
2022-05-06,xx600989_convert,14.17,14.65,13.87,13.9,-0.0142,keep,0,1000000,1000000.0,34569,0.0,0.0
2022-05-13,xx600989_convert,13.84,14.64,13.65,14.17,0.0399,keep,0,1000000,1000000.0,95732,0.0,0.0
2022-05-20,xx600989_convert,14.2,15.06,14.05,14.7,0.0374,keep,0,1000000,1000000.0,35537,0.0,0.0
2022-05-27,xx600989_convert,14.7,15.43,14.12,15.2,0.034,keep,0,1000000,1000000.0,85807,0.0,0.0
2022-06-02,xx600989_convert,15.17,15.85,15.09,15.51,0.0204,keep,0,1000000,1000000.0,99676,0.0,0.0
2022-06-10,xx600989_convert,15.41,16.74,15.32,16.61,0.0709,keep,0,1000000,1000000.0,35159,0.0,0.0
2022-06-17,xx600989_convert,16.51,16.8,15.76,15.97,-0.0385,keep,0,1000000,1000000.0,92757,0.0,0.0
2022-06-24,xx600989_convert,15.88,16.3,14.22,14.63,-0.0839,keep,0,1000000,1000000.0,60952,0.0,0.0
2022-07-01,xx600989_convert,14.65,15.24,14.55,14.8,0.0116,keep,0,1000000,1000000.0,33662,0.0,0.0
2022-07-08,xx600989_convert,14.85,15.55,13.91,14.22,-0.0392,keep,0,1000000,1000000.0,18644,0.0,0.0
2022-07-15,xx600989_convert,14.1,14.13,13.28,13.28,-0.0661,keep,0,1000000,1000000.0,25505,0.0,0.0
2022-07-22,xx600989_convert,13.35,14.29,13.24,13.83,0.0414,keep,0,1000000,1000000.0,99472,0.0,0.0
2022-07-29,xx600989_convert,13.81,14.1,13.3,13.46,-0.0268,keep,0,1000000,1000000.0,62341,0.0,0.0
2022-08-05,xx600989_convert,13.46,14.05,13.14,13.55,0.0067,keep,0,1000000,1000000.0,31496,0.0,0.0
2022-08-12,xx600989_convert,13.52,14.5,13.22,14.1,0.0406,keep,0,1000000,1000000.0,87089,0.0,0.0
2022-08-19,xx600989_convert,14.15,14.56,13.5,13.55,-0.039,keep,0,1000000,1000000.0,72511,0.0,0.0
2022-08-26,xx600989_convert,13.48,14.73,13.38,14.04,0.0362,keep,0,1000000,1000000.0,35940,0.0,0.0
2022-09-02,xx600989_convert,13.88,14.19,13.24,13.4,-0.0456,keep,0,1000000,1000000.0,57806,0.0,0.0
2022-09-09,xx600989_convert,13.41,14.15,13.37,13.61,0.0157,keep,0,1000000,1000000.0,81447,0.0,0.0
2022-09-16,xx600989_convert,13.61,13.75,12.35,12.43,-0.0867,keep,0,1000000,1000000.0,53375,0.0,0.0
2022-09-23,xx600989_convert,12.38,15.12,12.19,14.12,0.136,keep,0,1000000,1000000.0,28677,0.0,0.0
2022-09-30,xx600989_convert,14.1,14.13,12.87,13.32,-0.0567,keep,0,1000000,1000000.0,14619,0.0,0.0
2022-10-14,xx600989_convert,13.47,13.55,12.42,13.13,-0.0143,keep,0,1000000,1000000.0,92155,0.0,0.0
2022-10-21,xx600989_convert,12.98,13.52,12.67,12.78,-0.0267,keep,0,1000000,1000000.0,64456,0.0,0.0
2022-10-28,xx600989_convert,12.95,12.97,12.26,12.26,-0.0407,keep,0,1000000,1000000.0,32235,0.0,0.0
2022-11-04,xx600989_convert,12.26,13.28,11.39,13.18,0.075,keep,0,1000000,1000000.0,80109,0.0,0.0
2022-11-11,xx600989_convert,13.16,13.65,13.1,13.58,0.0303,keep,0,1000000,1000000.0,39206,0.0,0.0
2022-11-18,xx600989_convert,13.58,13.84,12.97,13.1,-0.0353,keep,0,1000000,1000000.0,46353,0.0,0.0
2022-11-25,xx600989_convert,13.13,14.3,12.68,13.99,0.0679,keep,0,1000000,1000000.0,95106,0.0,0.0
2022-12-02,xx600989_convert,13.71,13.76,13.11,13.32,-0.0479,keep,0,1000000,1000000.0,98297,0.0,0.0
2022-12-09,xx600989_convert,13.37,14.44,13.3,14.26,0.0706,keep,0,1000000,1000000.0,59742,0.0,0.0
2022-12-16,xx600989_convert,14.21,14.39,13.35,13.59,-0.047,keep,0,1000000,1000000.0,29789,0.0,0.0
2022-12-23,xx600989_convert,13.61,13.65,12.2,12.39,-0.0883,keep,0,1000000,1000000.0,83370,0.0,0.0
2022-12-30,xx600989_convert,12.49,12.55,11.84,12.07,-0.0147,keep,0,1000000,1000000.0,79383,0.0,0.0
2023-01-06,xx600989_convert,12.08,12.6,11.94,12.43,0.0298,keep,0,1000000,1000000.0,51079,0.0,0.0
2023-01-13,xx600989_convert,12.45,13.02,12.44,12.67,0.0193,keep,0,1000000,1000000.0,75008,0.0,0.0
2023-01-20,xx600989_convert,12.7,13.37,12.62,13.3,0.0497,keep,0,1000000,1000000.0,23455,0.0,0.0
