date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission,tax
2022-01-07,xx002415_convert,53.0,53.0,49.7,49.87,-0.0468,,,,,88600,,,,
2022-01-14,xx002415_convert,49.63,50.58,47.85,48.3,-0.0315,,,,,68866,,,,
2022-01-21,xx002415_convert,48.38,52.21,48.3,49.49,0.0246,,,,,72087,,,,
2022-01-28,xx002415_convert,49.0,49.88,47.0,47.46,-0.041,,,,,93661,,,,
2022-02-11,xx002415_convert,47.94,47.98,45.24,46.0,-0.0308,,,,,23413,,,,
2022-02-18,xx002415_convert,45.78,46.54,45.14,46.5,0.0109,,,,,29437,,,,
2022-02-25,xx002415_convert,46.37,49.25,46.26,48.25,0.0376,,,,,38450,,,,
2022-03-04,xx002415_convert,48.14,48.5,45.5,45.77,-0.0514,,,,,88787,,,,
2022-03-11,xx002415_convert,45.43,45.44,40.3,45.28,-0.0107,,,,,15173,,,,
2022-03-18,xx002415_convert,44.78,45.33,39.4,43.37,-0.0422,,,,,41956,,,,
2022-03-25,xx002415_convert,43.6,43.61,40.7,41.06,-0.0533,keep,0,1000000,1000000,14377,0.0,0.0,,
2022-04-01,xx002415_convert,40.3,41.68,39.0,41.21,0.0037,keep,0,1000000,1000000.0,36086,0.0,0.0,,
2022-04-08,xx002415_convert,40.78,41.27,39.0,39.4,-0.0439,keep,0,1000000,1000000.0,46013,0.0,0.0,,
2022-04-15,xx002415_convert,39.4,40.2,36.39,39.93,0.0135,keep,0,1000000,1000000.0,54531,0.0,0.0,,
2022-04-22,xx002415_convert,41.0,42.59,40.31,40.8,0.0218,keep,0,1000000,1000000.0,43098,0.0,0.0,,
2022-04-29,xx002415_convert,40.5,43.13,38.98,42.49,0.0414,keep,0,1000000,1000000.0,81904,0.0,0.0,,
2022-05-06,xx002415_convert,38.24,38.8,34.42,34.8,-0.181,buy,0,1000000,1000000.0,96479,0.0,0.0,,
2022-05-13,xx002415_convert,34.0,36.1,31.12,32.08,-0.0782,sell,5800,802692.69,988756.69,18606,186064.0,0.1882,49.31,
2022-05-20,xx002415_convert,32.08,33.9,31.36,33.4,0.0411,sell,4640,839847.3899999999,994823.3899999999,76174,154976.0,0.1558,9.3,37.2
2022-05-27,xx002415_convert,33.41,33.99,31.5,32.53,0.0018,keep,3818,871671.1599999999,995870.7,96959,124199.54,0.1247,7.97,31.86
2022-06-02,xx002415_convert,32.5,33.74,32.33,32.99,0.0141,keep,3818,871671.1599999999,997626.98,76804,125955.82,0.1263,,
2022-06-10,xx002415_convert,32.9,37.34,32.8,34.71,0.0521,keep,3818,871671.1599999999,1004193.94,58551,132522.78,0.132,,
2022-06-17,xx002415_convert,35.0,35.92,33.2,34.55,-0.0046,keep,3818,871671.1599999999,1003583.0599999999,83265,131911.9,0.1314,,
2022-06-24,xx002415_convert,35.5,36.66,34.55,35.69,0.033,keep,3818,871671.1599999999,1007935.5799999998,46778,136264.42,0.1352,,
2022-07-01,xx002415_convert,35.8,37.49,35.38,35.8,0.0031,keep,3818,871671.1599999999,1008355.5599999999,39629,136684.4,0.1356,,
2022-07-08,xx002415_convert,35.9,36.65,33.8,34.12,-0.0469,keep,3818,871671.1599999999,1001941.32,71540,130270.16,0.13,,
2022-07-15,xx002415_convert,34.02,34.04,31.63,31.69,-0.0712,keep,3818,871671.1599999999,992663.58,62906,120992.42,0.1219,,
2022-07-22,xx002415_convert,31.62,32.18,31.26,31.43,-0.0082,keep,3818,871671.1599999999,991670.8999999999,36304,119999.74,0.121,,
