date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash
2022-01-31,xxx48,416.57,417.84,343.61,366.98,-0.12,,,,,,
2022-02-28,xxx48,369.47,374.67,299.29,315.83,-0.14,,,,,,
2022-03-31,xxx48,314.59,340.74,298.89,299.33,-0.05,,,,,,
2022-04-29,xxx48,300.5,318.4,293.59,300.4,0.0,,,,,,
2022-05-31,xxx48,301.99,315.75,279.59,302.75,0.01,,,,,,
2022-06-30,xxx48,301.74,308.46,264.51,274.27,-0.09,,,,,,
2022-07-29,xxx48,275.73,310.67,274.55,300.94,0.1,,,,,,
2022-08-31,xxx48,300.64,332.98,288.28,288.42,-0.04,,,,,,
2022-09-30,xxx48,288.4,302.83,265.61,275.94,-0.04,,,,,,
2022-10-31,xxx48,281.0,299.28,267.87,296.13,0.07,,,,,,
2022-11-30,xxx48,300.37,329.08,277.5,323.99,0.09,keep,0,1000000,0.0,0.0,1000000.0
2022-12-30,xxx48,326.31,347.25,310.73,315.86,-0.02,keep,0,1000000.0,0.0,0.0,1000000.0
2023-01-31,xxx48,317.42,335.16,307.39,324.17,0.03,keep,0,1000000.0,0.0,0.0,1000000.0
2023-02-28,xxx48,322.39,341.47,292.0,296.54,-0.09,keep,0,1000000.0,0.0,0.0,1000000.0
2023-03-31,xxx48,291.92,300.11,279.93,295.12,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0
2023-04-28,xxx48,294.87,303.2,284.24,300.54,0.02,keep,0,1000000.0,0.0,0.0,1000000.0
2023-05-31,xxx48,298.98,299.56,277.09,283.45,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0
2023-06-30,xxx48,284.05,315.46,279.98,310.64,0.1,keep,0,1000000.0,0.0,0.0,1000000.0
2023-07-31,xxx48,309.78,334.07,300.89,333.84,0.07,keep,0,1000000.0,0.0,0.0,1000000.0
2023-08-31,xxx48,331.76,338.17,321.2,330.3,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0
2023-09-29,xxx48,332.0,333.45,299.82,302.16,-0.09,keep,0,1000000.0,0.0,0.0,1000000.0
2023-10-31,xxx48,300.52,303.45,274.26,284.69,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0
2023-11-30,xxx48,285.59,314.58,282.02,313.49,0.1,keep,0,1000000.0,0.0,0.0,1000000.0
2023-12-20,xxx48,313.83,354.92,313.0,348.66,0.11,,0,1000000.0,0.0,0.0,1000000.0
