date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission
2022-01-07,xxx41_convert,209.0,214.43,206.14,212.09,0.0174,,,,,54675,,,
2022-01-14,xxx41_convert,212.6,214.7,209.43,213.1,0.0048,,,,,85571,,,
2022-01-21,xxx41_convert,212.13,213.44,206.32,206.54,-0.0309,,,,,15030,,,
2022-01-28,xxx41_convert,204.44,213.0,200.65,212.82,0.0305,,,,,79636,,,
2022-02-04,xxx41_convert,210.46,216.21,207.84,212.29,-0.0025,,,,,38186,,,
2022-02-11,xxx41_convert,213.28,216.17,210.31,213.76,0.0069,,,,,68195,,,
2022-02-18,xxx41_convert,213.75,218.6,210.03,215.82,0.0097,,,,,39561,,,
2022-02-25,xxx41_convert,220.0,228.2,211.41,227.98,0.0563,,,,,88783,,,
2022-03-04,xxx41_convert,229.59,245.56,229.14,245.29,0.076,,,,,38157,,,
2022-03-11,xxx41_convert,245.51,254.99,231.62,232.48,-0.0521,,,,,98609,,,
2022-03-18,xxx41_convert,234.35,238.41,224.38,230.23,-0.0097,keep,0,1000000,1000000,68629,0.0,0.0,
2022-03-25,xxx41_convert,231.0,244.44,230.99,244.36,0.0614,keep,0,1000000,1000000.0,27649,0.0,0.0,
2022-04-01,xxx41_convert,242.52,245.63,234.13,242.51,-0.0077,keep,0,1000000,1000000.0,21491,0.0,0.0,
2022-04-08,xxx41_convert,242.49,246.13,236.96,242.04,-0.0019,keep,0,1000000,1000000.0,55919,0.0,0.0,
2022-04-14,xxx41_convert,244.31,246.91,241.75,243.74,0.0069,keep,0,1000000,1000000.0,85660,0.0,0.0,
2022-04-22,xxx41_convert,243.42,249.69,238.55,238.79,-0.0202,keep,0,1000000,1000000.0,56389,0.0,0.0,
2022-04-29,xxx41_convert,239.02,247.0,234.85,236.53,-0.0095,keep,0,1000000,1000000.0,19366,0.0,0.0,
2022-05-06,xxx41_convert,236.53,244.15,230.43,239.6,0.0131,keep,0,1000000,1000000.0,15031,0.0,0.0,
2022-05-13,xxx41_convert,237.98,238.29,219.43,226.31,-0.0555,keep,0,1000000,1000000.0,18884,0.0,0.0,
2022-05-20,xxx41_convert,226.71,232.41,210.19,213.5,-0.0567,keep,0,1000000,1000000.0,59530,0.0,0.0,
2022-05-27,xxx41_convert,215.19,226.64,214.8,226.51,0.0609,keep,0,1000000,1000000.0,98384,0.0,0.0,
2022-06-03,xxx41_convert,224.24,231.84,223.4,230.13,0.0159,keep,0,1000000,1000000.0,73360,0.0,0.0,
2022-06-10,xxx41_convert,231.33,235.82,222.9,224.63,-0.0239,keep,0,1000000,1000000.0,89657,0.0,0.0,
2022-06-17,xxx41_convert,220.91,221.65,208.12,209.78,-0.0661,keep,0,1000000,1000000.0,89159,0.0,0.0,
